company_id,person_id,match_type,score
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,45375392,Exact,1.0
94452,53480209,Exact,1.0
94452,48483689,Exact,1.0
94452,48483689,Exact,1.0
94452,48483689,Exact,1.0
94453,47050154,Exact,1.0
94453,47050154,Exact,1.0
94453,47050154,Exact,1.0
94453,47050154,Exact,1.0
94453,47050154,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,10833308,Exact,1.0
94453,4153844,Exact,1.0
94453,4153844,Exact,1.0
94468,5985707,Exact,1.0
94468,5985707,Exact,1.0
94468,5985707,Exact,1.0
94468,5985707,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,7578421,Exact,1.0
94481,45193744,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,54818912,Exact,1.0
94481,55720715,Exact,1.0
94481,11210847,Exact,1.0
94481,72151490,Exact,1.0
94481,56982669,Exact,1.0
94481,56982669,Exact,1.0
94482,10988556,Exact,1.0
94485,74831484,Exact,1.0
94488,11598720,Exact,1.0
94488,11598720,Exact,1.0
94499,48383119,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,45164969,Exact,1.0
94500,72426723,Exact,1.0
94501,72462229,Exact,1.0
94501,74486969,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94501,48422804,Exact,1.0
94539,77853335,Exact,1.0
94542,4042507,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,11989602,Exact,1.0
94568,53588699,Exact,1.0
94568,53588699,Exact,1.0
94568,53588699,Exact,1.0
94568,53588699,Exact,1.0
94568,53588699,Exact,1.0
94629,70126679,Exact,1.0
94629,70126679,Exact,1.0
94631,11697774,Exact,1.0
94631,11697774,Exact,1.0
